pnl_bin,first_sell_count,avg_time_to_first_sell,avg_pct_first_sell,full_exit_count,avg_time_to_full_exit,hazard_rate_first_sell,hazard_rate_full_exit
<-95%,57,832.14,79.9,53,932.53,0.001202,0.001072
-95_to_-75,1294,1046.27,84.18,1355,1011.36,0.000956,0.000989
-75_to_-50,1155,161.55,78.06,1376,165.88,0.00619,0.006029
-50_to_-25,1283,67.7,73.75,1689,67.35,0.014772,0.014848
-25_to_0,25784,2.98,93.86,32135,3.94,0.335879,0.253543
0_to_25,3805,10.99,76.68,5940,10.53,0.090963,0.094978
25_to_100,1974,28.91,65.54,2168,31.83,0.034594,0.031412
100_to_200,594,22.16,57.19,393,28.05,0.04512,0.035649
200_to_500,379,30.98,50.48,232,50.75,0.032275,0.019703
>500%,552,352.92,44.19,266,731.58,0.002834,0.001367
